Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,38700.0,39400.0,36850.0,38750.0,33061.84375,47177112.0
2019-01-07,38000.0,40700.0,37950.0,40050.0,34171.0234375,68587020.0
2019-01-14,40050.0,42750.0,39850.0,42750.0,36474.68359375,54106211.0
2019-01-21,42750.0,45500.0,41350.0,45050.0,38437.05859375,76571367.0
2019-01-28,45050.0,47050.0,44350.0,46350.0,39546.23828125,69174596.0
2019-02-04,46350.0,47100.0,44250.0,45000.0,38394.40625,39686241.0
2019-02-11,44650.0,47500.0,44650.0,46200.0,39418.26171875,60481817.0
2019-02-18,45850.0,47550.0,45450.0,47350.0,40399.4453125,41322612.0
2019-02-25,47350.0,47450.0,44800.0,44850.0,38266.42578125,52526618.0
2019-03-04,44600.0,45100.0,43400.0,43650.0,37242.578125,50311175.0
2019-03-11,44300.0,44950.0,43450.0,43700.0,37285.23046875,62582520.0
2019-03-18,43750.0,47000.0,43100.0,45500.0,38821.00390625,59829460.0
2019-03-25,45500.0,45700.0,44200.0,45050.0,38437.05859375,44973040.0
2019-04-01,45550.0,47550.0,45350.0,46650.0,40115.34375,51621674.0
2019-04-08,46700.0,47500.0,46000.0,47050.0,40459.3046875,48862110.0
2019-04-15,47400.0,47600.0,45100.0,45350.0,38997.4453125,40539953.0
2019-04-22,45050.0,46150.0,43800.0,46150.0,39685.37890625,49606297.0
2019-04-29,46000.0,46300.0,45300.0,45300.0,38954.44921875,26309315.0
2019-05-06,45250.0,45300.0,42350.0,42650.0,36675.6484375,67657970.0
2019-05-13,41300.0,43100.0,40850.0,42000.0,36116.70703125,62032091.0
2019-05-20,42600.0,44000.0,42350.0,42650.0,36675.6484375,64137452.0
2019-05-27,42550.0,43900.0,41300.0,43800.0,37664.5546875,78036096.0
2019-06-03,43400.0,44850.0,43000.0,44800.0,38524.48046875,42853496.0
2019-06-10,44800.0,45050.0,43300.0,43900.0,37750.55859375,53392149.0
2019-06-17,43750.0,45800.0,43650.0,45500.0,39126.42578125,41100382.0
2019-06-24,45200.0,47400.0,45200.0,46600.0,40072.3515625,53239158.0
2019-07-01,46200.0,46900.0,44350.0,44400.0,38478.578125,39557252.0
2019-07-08,44850.0,46650.0,44700.0,46450.0,40255.171875,37853132.0
2019-07-15,46450.0,47300.0,45650.0,47200.0,40905.15625,35596482.0
2019-07-22,47350.0,47550.0,46000.0,46100.0,39951.859375,40957473.0
2019-07-29,46300.0,46850.0,43600.0,43950.0,38088.5859375,52600571.0
2019-08-05,42500.0,44000.0,42500.0,43700.0,37871.93359375,60164554.0
2019-08-12,43500.0,44350.0,42950.0,43600.0,37785.2734375,31569447.0
2019-08-19,43950.0,44800.0,42950.0,43600.0,37785.2734375,36039429.0
2019-08-26,43650.0,44850.0,43050.0,43800.0,37958.58984375,50495737.0
2019-09-02,43550.0,47000.0,43100.0,46900.0,40645.15625,59844927.0
2019-09-09,47100.0,47400.0,46400.0,47100.0,40818.48828125,40924337.0
2019-09-16,47000.0,49600.0,46800.0,49300.0,42725.1015625,56909483.0
2019-09-23,49050.0,49650.0,47900.0,49050.0,42508.4375,43099012.0
2019-09-30,48900.0,49100.0,47350.0,47750.0,41681.7109375,30967466.0
2019-10-07,47900.0,50300.0,47600.0,50000.0,43645.76953125,51793132.0
2019-10-14,49900.0,50900.0,49650.0,50300.0,43907.640625,34785404.0
2019-10-21,50800.0,52500.0,50500.0,51300.0,44780.5546875,55059813.0
2019-10-28,51400.0,52300.0,50200.0,52300.0,45653.47265625,48326098.0
2019-11-04,52400.0,53500.0,51400.0,51600.0,45042.4375,53988525.0
2019-11-11,51800.0,53800.0,51600.0,53500.0,46700.96484375,42261276.0
2019-11-18,53200.0,53500.0,50600.0,51800.0,45217.01171875,53294828.0
2019-11-25,51900.0,52900.0,50200.0,50400.0,43994.9296875,71808958.0
2019-12-02,49800.0,51400.0,49000.0,51200.0,44693.26953125,55641266.0
2019-12-09,51000.0,54900.0,50700.0,54700.0,47748.47265625,77073655.0
2019-12-16,55800.0,57300.0,55100.0,55500.0,48446.8046875,71031932.0
2019-12-23,55600.0,56900.0,54400.0,55800.0,48708.67578125,42183320.0
2019-12-30,55800.0,56600.0,54600.0,55500.0,48758.359375,38694434.0
2020-01-06,55700.0,60000.0,55600.0,60000.0,52711.73828125,84972837.0
2020-01-13,60400.0,62800.0,58900.0,62400.0,54820.2109375,74143513.0
2020-01-20,62000.0,62600.0,60400.0,60800.0,53414.56640625,41398813.0
2020-01-27,59400.0,59700.0,55200.0,57200.0,50251.86328125,104677299.0
2020-02-03,57100.0,61200.0,56800.0,59700.0,52448.19140625,85315130.0
2020-02-10,59800.0,62000.0,59700.0,61500.0,54029.53515625,64441876.0
2020-02-17,60800.0,61300.0,56800.0,56800.0,49900.45703125,83622616.0
2020-02-24,56200.0,58000.0,53600.0,55000.0,48319.1015625,133035690.0
2020-03-02,56700.0,58000.0,54600.0,56500.0,49636.8984375,95511669.0
2020-03-09,53800.0,54900.0,46850.0,48900.0,42960.078125,170616589.0
2020-03-16,46900.0,49650.0,42300.0,42500.0,37337.48828125,239727921.0
2020-03-23,43850.0,49700.0,43050.0,47850.0,42037.609375,211416532.0
2020-03-30,48000.0,48800.0,45350.0,48700.0,43100.25390625,125715277.0
2020-04-06,49650.0,50200.0,48300.0,48300.0,42746.25,111433317.0
2020-04-13,48800.0,52000.0,48300.0,50100.0,44339.28125,91464005.0
2020-04-20,49400.0,50300.0,48350.0,49850.0,44118.02734375,94443667.0
2020-04-27,49850.0,50500.0,48500.0,48500.0,42923.25,57783681.0
2020-05-04,48500.0,49350.0,48300.0,48400.0,42834.74609375,63632079.0
2020-05-11,48400.0,49100.0,47200.0,48800.0,43188.76171875,101907940.0
